dept,base,txt_path,meta_path,xml_path,txt_size,core_all,core_lead,climate_all,climate_lead,procedural,meta_hits,raw,score,score_norm,pct,tier
doi,01_03_2013_2012-30634,E:\2026_capstone\policy_data\doi_data\raw_text\01_03_2013_2012-30634.txt,E:\2026_capstone\policy_data\doi_data\meta\01_03_2013_2012-30634.json,E:\2026_capstone\policy_data\doi_data\xml\01_03_2013_2012-30634.xml,1238801,1054,0,196,0,0,0,591.970058315302,1.0,0.668841975379746,0.9950980392156863,Tier1_keep
doe,01_05_2017_2016-30004,E:\2026_capstone\policy_data\doe_data\raw_text\01_05_2017_2016-30004.txt,E:\2026_capstone\policy_data\doe_data\meta\01_05_2017_2016-30004.json,E:\2026_capstone\policy_data\doe_data\xml\01_05_2017_2016-30004.xml,1072235,5,0,1004,3,0,0,214.75080379686312,1.0,0.9419949242667434,0.9923664122137404,Tier1_keep
doi,01_15_2025_2025-00709,E:\2026_capstone\policy_data\doi_data\raw_text\01_15_2025_2025-00709.txt,E:\2026_capstone\policy_data\doi_data\meta\01_15_2025_2025-00709.json,E:\2026_capstone\policy_data\doi_data\xml\01_15_2025_2025-00709.xml,153525,221,5,1,0,0,1,128.54911086992652,1.0,0.14365229448260117,0.9436274509803921,Tier1_keep
epa,01_18_2023_2022-28595,E:\2026_capstone\policy_data\epa_data\raw_text\01_18_2023_2022-28595.txt,E:\2026_capstone\policy_data\epa_data\meta\01_18_2023_2022-28595.json,E:\2026_capstone\policy_data\epa_data\xml\01_18_2023_2022-28595.xml,1144916,231,0,151,0,1,0,151.69235784991884,1.0,0.23545879450632154,0.9577464788732394,Tier1_keep
usda,01_19_2021_2021-00967,E:\2026_capstone\policy_data\usda_data\raw_text\01_19_2021_2021-00967.txt,E:\2026_capstone\policy_data\usda_data\meta\01_19_2021_2021-00967.json,E:\2026_capstone\policy_data\usda_data\xml\01_19_2021_2021-00967.xml,673689,1109,0,15,0,3,0,592.0275645736423,1.0,1.0,1.0,Tier1_keep
doi,02_09_2011_2011-1703,E:\2026_capstone\policy_data\doi_data\raw_text\02_09_2011_2011-1703.txt,E:\2026_capstone\policy_data\doi_data\meta\02_09_2011_2011-1703.json,E:\2026_capstone\policy_data\doi_data\xml\02_09_2011_2011-1703.xml,1506674,455,0,62,0,0,0,249.15364265723832,1.0,0.2803320365471178,0.9754901960784313,Tier1_keep
doi,02_23_2012_2012-3591,E:\2026_capstone\policy_data\doi_data\raw_text\02_23_2012_2012-3591.txt,E:\2026_capstone\policy_data\doi_data\meta\02_23_2012_2012-3591.json,E:\2026_capstone\policy_data\doi_data\xml\02_23_2012_2012-3591.xml,791177,454,0,178,0,0,0,278.81116597894027,1.0,0.31394256989781455,0.9803921568627451,Tier1_keep
doi,03_05_2014_2014-03485,E:\2026_capstone\policy_data\doi_data\raw_text\03_05_2014_2014-03485.txt,E:\2026_capstone\policy_data\doi_data\meta\03_05_2014_2014-03485.json,E:\2026_capstone\policy_data\doi_data\xml\03_05_2014_2014-03485.xml,609027,269,0,68,0,0,0,158.67608947794704,1.0,0.1777948561617027,0.9607843137254902,Tier1_keep
doi,03_07_2024_2024-04053,E:\2026_capstone\policy_data\doi_data\raw_text\03_07_2024_2024-04053.txt,E:\2026_capstone\policy_data\doi_data\meta\03_07_2024_2024-04053.json,E:\2026_capstone\policy_data\doi_data\xml\03_07_2024_2024-04053.xml,362533,272,0,56,0,0,0,160.62116985822965,1.0,0.17999919360020472,0.9632352941176471,Tier1_keep
epa,03_08_2024_2024-00366,E:\2026_capstone\policy_data\epa_data\raw_text\03_08_2024_2024-00366.txt,E:\2026_capstone\policy_data\epa_data\meta\03_08_2024_2024-00366.json,E:\2026_capstone\policy_data\epa_data\xml\03_08_2024_2024-00366.xml,3204226,226,0,249,0,0,0,164.87768367504069,1.0,0.2562350747765222,0.971830985915493,Tier1_keep
doi,04_05_2024_2024-06902,E:\2026_capstone\policy_data\doi_data\raw_text\04_05_2024_2024-06902.txt,E:\2026_capstone\policy_data\doi_data\meta\04_05_2024_2024-06902.json,E:\2026_capstone\policy_data\doi_data\xml\04_05_2024_2024-06902.xml,240177,226,0,5,0,0,0,126.24403679237982,1.0,0.14103998028768935,0.9387254901960784,Tier1_keep
usda,04_09_2012_2012-7502,E:\2026_capstone\policy_data\usda_data\raw_text\04_09_2012_2012-7502.txt,E:\2026_capstone\policy_data\usda_data\meta\04_09_2012_2012-7502.json,E:\2026_capstone\policy_data\usda_data\xml\04_09_2012_2012-7502.xml,879582,324,0,123,0,1,0,196.33961485183607,1.0,0.33109941954550115,0.9962825278810409,Tier1_keep
epa,04_21_2020_2020-02500,E:\2026_capstone\policy_data\epa_data\raw_text\04_21_2020_2020-02500.txt,E:\2026_capstone\policy_data\epa_data\meta\04_21_2020_2020-02500.json,E:\2026_capstone\policy_data\epa_data\xml\04_21_2020_2020-02500.xml,745909,235,0,124,0,1,0,150.32908066870692,1.0,0.2333106618641336,0.9507042253521126,Tier1_keep
doi,04_21_2021_2021-07402,E:\2026_capstone\policy_data\doi_data\raw_text\04_21_2021_2021-07402.txt,E:\2026_capstone\policy_data\doi_data\meta\04_21_2021_2021-07402.json,E:\2026_capstone\policy_data\doi_data\xml\04_21_2021_2021-07402.xml,1127136,847,0,165,0,2,0,476.7212322295213,1.0,0.5382317935797611,0.9901960784313726,Tier1_keep
hud,04_23_2024_2024-06246,E:\2026_capstone\policy_data\hud_data\raw_text\04_23_2024_2024-06246.txt,E:\2026_capstone\policy_data\hud_data\meta\04_23_2024_2024-06246.json,E:\2026_capstone\policy_data\hud_data\xml\04_23_2024_2024-06246.xml,497256,67,0,908,4,0,0,233.66520993749356,1.0,1.0,1.0,Tier1_keep
doi,04_28_2021_2021-07572,E:\2026_capstone\policy_data\doi_data\raw_text\04_28_2021_2021-07572.txt,E:\2026_capstone\policy_data\doi_data\meta\04_28_2021_2021-07572.json,E:\2026_capstone\policy_data\doi_data\xml\04_28_2021_2021-07572.xml,418558,269,0,54,0,2,0,155.57312421664543,1.0,0.17427830097704522,0.9583333333333334,Tier1_keep
epa,05_01_2015_2015-09739,E:\2026_capstone\policy_data\epa_data\raw_text\05_01_2015_2015-09739.txt,E:\2026_capstone\policy_data\epa_data\meta\05_01_2015_2015-09739.json,E:\2026_capstone\policy_data\epa_data\xml\05_01_2015_2015-09739.xml,321134,262,4,4,0,0,1,147.62153590840208,1.0,0.22904435024390582,0.9436619718309859,Tier1_keep
doe,05_01_2024_2024-08157,E:\2026_capstone\policy_data\doe_data\raw_text\05_01_2024_2024-08157.txt,E:\2026_capstone\policy_data\doe_data\meta\05_01_2024_2024-08157.json,E:\2026_capstone\policy_data\doe_data\xml\05_01_2024_2024-08157.xml,539009,274,0,23,0,0,0,152.36598686289005,1.0,0.6683466777218752,0.9847328244274809,Tier1_keep
doe,05_06_2024_2024-09209,E:\2026_capstone\policy_data\doe_data\raw_text\05_06_2024_2024-09209.txt,E:\2026_capstone\policy_data\doe_data\meta\05_06_2024_2024-09209.json,E:\2026_capstone\policy_data\doe_data\xml\05_06_2024_2024-09209.xml,959511,7,0,684,0,0,0,147.97523451070168,1.0,0.6490868362854441,0.9809160305343512,Tier1_keep
doi,05_07_2024_2024-08585,E:\2026_capstone\policy_data\doi_data\raw_text\05_07_2024_2024-08585.txt,E:\2026_capstone\policy_data\doi_data\meta\05_07_2024_2024-08585.json,E:\2026_capstone\policy_data\doi_data\xml\05_07_2024_2024-08585.xml,373997,226,0,20,0,0,0,127.52952591645281,1.0,0.14249681046895393,0.9411764705882353,Tier1_keep
doi,05_09_2024_2024-08821,E:\2026_capstone\policy_data\doi_data\raw_text\05_09_2024_2024-08821.txt,E:\2026_capstone\policy_data\doi_data\meta\05_09_2024_2024-08821.json,E:\2026_capstone\policy_data\doi_data\xml\05_09_2024_2024-08821.xml,317563,138,0,165,0,0,0,111.83047092026668,1.0,0.12470525027020919,0.9215686274509803,Tier1_keep
epa,05_09_2024_2024-09233,E:\2026_capstone\policy_data\epa_data\raw_text\05_09_2024_2024-09233.txt,E:\2026_capstone\policy_data\epa_data\meta\05_09_2024_2024-09233.json,E:\2026_capstone\policy_data\epa_data\xml\05_09_2024_2024-09233.xml,2259096,116,0,494,0,1,0,159.6251563905439,1.0,0.24795860285334373,0.9647887323943662,Tier1_keep
doi,05_15_2024_2024-08791,E:\2026_capstone\policy_data\doi_data\raw_text\05_15_2024_2024-08791.txt,E:\2026_capstone\policy_data\doi_data\meta\05_15_2024_2024-08791.json,E:\2026_capstone\policy_data\doi_data\xml\05_15_2024_2024-08791.xml,1204487,322,0,3,0,0,0,169.12601908317183,1.0,0.18963764234782463,0.9656862745098039,Tier1_keep
doe,05_29_2024_2024-10879,E:\2026_capstone\policy_data\doe_data\raw_text\05_29_2024_2024-10879.txt,E:\2026_capstone\policy_data\doe_data\meta\05_29_2024_2024-10879.json,E:\2026_capstone\policy_data\doe_data\xml\05_29_2024_2024-10879.xml,493463,418,0,16,0,1,0,227.97448082220498,1.0,1.0,1.0,Tier1_keep
doi,05_29_2024_2024-11254,E:\2026_capstone\policy_data\doi_data\raw_text\05_29_2024_2024-11254.txt,E:\2026_capstone\policy_data\doi_data\meta\05_29_2024_2024-11254.json,E:\2026_capstone\policy_data\doi_data\xml\05_29_2024_2024-11254.xml,273149,477,0,28,0,0,0,269.0704425437736,1.0,0.3029035189856295,0.9779411764705882,Tier1_keep
epa,06_05_2023_2023-05744,E:\2026_capstone\policy_data\epa_data\raw_text\06_05_2023_2023-05744.txt,E:\2026_capstone\policy_data\epa_data\meta\06_05_2023_2023-05744.json,E:\2026_capstone\policy_data\epa_data\xml\06_05_2023_2023-05744.xml,2112639,534,0,334,0,1,0,341.7382081557546,1.0,0.5349163811076109,0.9929577464788732,Tier1_keep
doe,06_08_2016_2016-12592,E:\2026_capstone\policy_data\doe_data\raw_text\06_08_2016_2016-12592.txt,E:\2026_capstone\policy_data\doe_data\meta\06_08_2016_2016-12592.json,E:\2026_capstone\policy_data\doe_data\xml\06_08_2016_2016-12592.xml,853663,8,0,595,3,0,0,131.3972355540914,1.0,0.5763681754212077,0.9770992366412213,Tier1_keep
doe,06_21_2023_2023-11429,E:\2026_capstone\policy_data\doe_data\raw_text\06_21_2023_2023-11429.txt,E:\2026_capstone\policy_data\doe_data\meta\06_21_2023_2023-11429.json,E:\2026_capstone\policy_data\doe_data\xml\06_21_2023_2023-11429.xml,688913,13,0,511,0,0,0,115.96713978977,1.0,0.5086847412549285,0.9732824427480916,Tier1_keep
doe,06_27_2011_2011-14557,E:\2026_capstone\policy_data\doe_data\raw_text\06_27_2011_2011-14557.txt,E:\2026_capstone\policy_data\doe_data\meta\06_27_2011_2011-14557.json,E:\2026_capstone\policy_data\doe_data\xml\06_27_2011_2011-14557.xml,1023750,9,0,959,2,0,0,207.32872833465012,1.0,0.9094383177753291,0.9885496183206107,Tier1_keep
doi,06_30_2017_2017-13160,E:\2026_capstone\policy_data\doi_data\raw_text\06_30_2017_2017-13160.txt,E:\2026_capstone\policy_data\doi_data\meta\06_30_2017_2017-13160.json,E:\2026_capstone\policy_data\doi_data\xml\06_30_2017_2017-13160.xml,999904,223,0,76,0,2,0,131.3327726819632,1.0,0.14680698670540243,0.946078431372549,Tier1_keep
fema,07_11_2024_2024-15169,E:\2026_capstone\policy_data\fema_data\raw_text\07_11_2024_2024-15169.txt,E:\2026_capstone\policy_data\fema_data\meta\07_11_2024_2024-15169.json,E:\2026_capstone\policy_data\fema_data\xml\07_11_2024_2024-15169.xml,880126,106,0,1167,2,2,0,301.6117174778228,1.0,1.0,1.0,Tier1_keep
fema,07_20_2020_2020-09260,E:\2026_capstone\policy_data\fema_data\raw_text\07_20_2020_2020-09260.txt,E:\2026_capstone\policy_data\fema_data\meta\07_20_2020_2020-09260.json,E:\2026_capstone\policy_data\fema_data\xml\07_20_2020_2020-09260.xml,343398,28,0,484,6,0,0,123.51032696314607,1.0,0.4102636182756692,0.9919354838709677,Tier1_keep
epa,08_08_2011_2011-17600,E:\2026_capstone\policy_data\epa_data\raw_text\08_08_2011_2011-17600.txt,E:\2026_capstone\policy_data\epa_data\meta\08_08_2011_2011-17600.json,E:\2026_capstone\policy_data\epa_data\xml\08_08_2011_2011-17600.xml,2117426,534,0,243,0,0,0,324.0528737205963,1.0,0.507049381856291,0.9859154929577465,Tier1_keep
doe,08_16_2023_2023-17571,E:\2026_capstone\policy_data\doe_data\raw_text\08_16_2023_2023-17571.txt,E:\2026_capstone\policy_data\doe_data\meta\08_16_2023_2023-17571.json,E:\2026_capstone\policy_data\doe_data\xml\08_16_2023_2023-17571.xml,96801,365,7,0,0,0,2,214.86541335334329,1.0,0.9424976540287185,0.9961832061068703,Tier1_keep
doi,08_21_2018_2018-17514,E:\2026_capstone\policy_data\doi_data\raw_text\08_21_2018_2018-17514.txt,E:\2026_capstone\policy_data\doi_data\meta\08_21_2018_2018-17514.json,E:\2026_capstone\policy_data\doi_data\xml\08_21_2018_2018-17514.xml,509032,209,0,12,0,0,0,115.25684195111438,1.0,0.1285883175295679,0.9264705882352942,Tier1_keep
