title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
"Building a Better Grid Initiative To Upgrade and Expand the Nation's Electric Transmission Grid To Support Resilience, Reliability, and Decarbonization",Notice,Energy Department,"In this notice, the Department of Energy (DOE or the Department) unveils its new Building a Better Grid Initiative focused on catalyzing nationwide development of new and upgraded high-capacity transmission lines. Under the Building a Better Grid Initiative, DOE will identify critical national transmission needs and support the buildout of long-distance, high-voltage transmission facilities that meet those needs through collaborative transmission planning, innovative financing mechanisms, coordinated permitting, and continued transmission related research and development. DOE commits to robust engagement on energy justice and collaboration, including with states, American Indian Tribes and Alaska Natives, industry, unions, local communities, and other stakeholders for successful implementation of the program.",87 FR 2769, 2022-00883,https://www.federalregister.gov/documents/2022/01/19/2022-00883/building-a-better-grid-initiative-to-upgrade-and-expand-the-nations-electric-transmission-grid-to,https://www.govinfo.gov/content/pkg/FR-2022-01-19/pdf/2022-00883.pdf,01/19/2022
Office of Energy Efficiency and Renewable Energy; Energy Efficiency and Conservation Block Grant Program,Notice,Energy Department,"This document advises the public that a class deviation to the Department of Energy (DOE) Financial Assistance Rules, particularly the regulations that deal with programmatic changes, and DOE policies and procedures on the use of warranted Contracting Officers to administer financial assistance agreements, has been approved for the Energy Efficiency and Conservation Block Grant (EECBG) program. This class deviation gives authority to EECBG Program Managers to approve the following processes for financial assistance agreements made using Recovery Act funding to State, city, county, and Tribal recipients in support of the formula EECBG program: Administer financial assistance awards for approval of programmatic changes under the Changes section of the Financial Assistance Rules; review of subsequent budget submittals for consistency with the requirements of Office of Management and Budget's (OMB) Cost Principles for State, Local and Indian Tribal Governments (questions on allowability, allocability and reasonableness of budgets and individual cost elements will be forwarded to the Contracting Officer for adjudication), remove and/or modify National Environmental Policy Act (NEPA) restrictions, including guidance on NEPA requirements; and amend agreements for administrative activities such as lifting conditions based on approval of Strategies. The class deviation does not apply to non-formula awards.",75 FR 30014, 2010-12886,https://www.federalregister.gov/documents/2010/05/28/2010-12886/office-of-energy-efficiency-and-renewable-energy-energy-efficiency-and-conservation-block-grant,https://www.govinfo.gov/content/pkg/FR-2010-05-28/pdf/2010-12886.pdf,05/28/2010
Notice of Availability of Tribal Allocation Formula for the Tribal Home Electrification and Appliance Rebates Programs,Notice,Energy Department,"The Department of Energy (DOE or the Department) is publishing its intended allocation formula that will be used to distribute funds to Indian Tribes through the $225 million Tribal Home Electrification and Appliance Rebates program. The purpose of the Tribal Home Electrification and Appliance Rebates program is to help Tribal households to reduce energy bills, increase home comfort, improve indoor air quality, and reduce emissions by providing direct funding for energy efficiency and electrification home upgrades. This notice provides the tentative allocation formula developed by the Department to distribute funds to Tribes, as well as the allocation amounts and data used to calculate allocations. This notice also describes how Tribes may partner with other Tribes through consortia to submit a single application to DOE, and how Tribes may authorize a third-party agent to handle the application and administration of a grant award.",88 FR 55674, 2023-17571,https://www.federalregister.gov/documents/2023/08/16/2023-17571/notice-of-availability-of-tribal-allocation-formula-for-the-tribal-home-electrification-and,https://www.govinfo.gov/content/pkg/FR-2023-08-16/pdf/2023-17571.pdf,08/16/2023
Request for Information Regarding Interregional and Offshore Wind Transmission,Notice,Energy Department,"The Inflation Reduction Act (IRA) provides funding to the Secretary of Energy (Secretary) to support convening relevant stakeholders to address the development of interregional electricity transmission and transmission of electricity that is generated by offshore wind, and to conduct planning, modeling, and analysis regarding interregional electricity transmission and transmission of electricity generated by offshore wind. Transmission development is an important priority to address reliability issues within the national electrical grid and to improve the flow of new energy generation, including offshore wind, both between regions and within regions to meet national clean energy goals. The U.S. Department of Energy (DOE) Grid Deployment Office (GDO) is issuing this RFI to seek input from all parties regarding issues related to the planning and development of electric transmission facilities to service offshore wind power generating stations on the U.S. West Coast.",89 FR 67075, 2024-18395,https://www.federalregister.gov/documents/2024/08/19/2024-18395/request-for-information-regarding-interregional-and-offshore-wind-transmission,https://www.govinfo.gov/content/pkg/FR-2024-08-19/pdf/2024-18395.pdf,08/19/2024
Notice of Intent and Request for Information Regarding Establishment of a Transmission Facilitation Program,Notice,Energy Department,"The Infrastructure Investment and Jobs Act (IIJA or the Act) directs the Secretary of Energy (Secretary) to establish a program, to be known as the ""Transmission Facilitation Program"" or ""TFP,"" under which the Secretary shall facilitate the construction of electric power transmission lines and related facilities. The U.S. Department of Energy (DOE or Department) Grid Deployment Office is issuing this NOI to notify interested parties of its intent to implement the TFP and to describe the proposed approach for participation by eligible entities in the TFP. The Department also seeks input from all stakeholders through this RFI regarding the application process, criteria for qualification, and selection of eligible projects to participate in the TFP.",87 FR 29142, 2022-10137,https://www.federalregister.gov/documents/2022/05/12/2022-10137/notice-of-intent-and-request-for-information-regarding-establishment-of-a-transmission-facilitation,https://www.govinfo.gov/content/pkg/FR-2022-05-12/pdf/2022-10137.pdf,05/12/2022
Notice of Request for Information (RFI) on Energy Sector Supply Chain Review,Notice,Energy Department,"The U.S. Department of Energy (DOE) Undersecretary for Science and Energy and Office of Policy (OP) request information on energy sector supply chains. This request for information (RFI) seeks input from all stakeholders involved directly and indirectly in the supply chains of energy, energy systems and technologies, and energy efficiency technologies from raw materials, processed materials, subcomponents, final products, to end-of-life material recovery and recycling--including but not limited to U.S. industry, researchers, academia, local governments, and civil society. This stakeholder input will inform the Department's efforts in building an energy sector industrial base that is diverse, resilient, and competitive while meeting economic, national security, and climate objectives.",86 FR 67695, 2021-25898,https://www.federalregister.gov/documents/2021/11/29/2021-25898/notice-of-request-for-information-rfi-on-energy-sector-supply-chain-review,https://www.govinfo.gov/content/pkg/FR-2021-11-29/pdf/2021-25898.pdf,11/29/2021
Consideration of Greenhouse Gas Emissions in Natural Gas Infrastructure Project Reviews,Notice,Energy Department; Federal Energy Regulatory Commission,This interim policy statement describes Commission procedures for evaluating climate impacts under NEPA and describes how the Commission will integrate climate considerations into its public interest determinations under the NGA.,87 FR 14104, 2022-04536,https://www.federalregister.gov/documents/2022/03/11/2022-04536/consideration-of-greenhouse-gas-emissions-in-natural-gas-infrastructure-project-reviews,https://www.govinfo.gov/content/pkg/FR-2022-03-11/pdf/2022-04536.pdf,03/11/2022
Notice of Call for Nominations for Appointment to the Electricity Advisory Committee,Notice,Energy Department,This notice constitutes an open call to the public to submit nominations for membership on the Electricity Advisory Committee.,89 FR 20646, 2024-06213,https://www.federalregister.gov/documents/2024/03/25/2024-06213/notice-of-call-for-nominations-for-appointment-to-the-electricity-advisory-committee,https://www.govinfo.gov/content/pkg/FR-2024-03-25/pdf/2024-06213.pdf,03/25/2024
Notice of Intent To Prepare an Environmental Impact Statement for Energy Conservation Standards for Manufactured Housing,Notice,Energy Department,"The U.S. Department of Energy (DOE) is required, as set forth in the Energy Independence and Security Act of 2007 (EISA), to establish energy conservation standards for manufactured housing. EISA further directs DOE to base its energy conservation standards on the most recent version of the International Energy Conservation Code (IECC), and any supplements to that document, except where DOE finds that the IECC is not cost effective or where a more stringent standard would be more cost effective. DOE's Office of Energy Efficiency and Renewable Energy (EERE) is currently planning to finalize a Supplemental Notice of Proposed Rulemaking (SNOPR) (on or before August 16, 2021) for publication in the Federal Register that will propose energy conservation standards for manufactured housing based on the 2021 IECC. In accordance with the National Environmental Policy Act of 1969 (NEPA), DOE NEPA Implementing Procedures and the Council on Environmental Quality (CEQ) regulations for implementing NEPA, DOE will prepare an environmental impact statement (DOE/EIS-0550) to evaluate the potential impacts to the human environment associated with the proposed energy conservation standards for manufactured housing.",86 FR 35773, 2021-14484,https://www.federalregister.gov/documents/2021/07/07/2021-14484/notice-of-intent-to-prepare-an-environmental-impact-statement-for-energy-conservation-standards-for,https://www.govinfo.gov/content/pkg/FR-2021-07-07/pdf/2021-14484.pdf,07/07/2021
Updating State Residential Building Energy Efficiency Codes,Notice,Energy Department,"The Department of Energy (DOE or Department) has preliminarily determined that the 2012 edition of the International Code Council (ICC) International Energy Conservation Code (IECC) (2012 IECC or 2012 edition) would achieve greater energy efficiency in low-rise residential buildings than the 2009 IECC. Upon publication of an affirmative final determination, States would be required to file certification statements to DOE that they have reviewed the provisions of their residential building code regarding energy efficiency and made a determination as to whether to update their code to meet or exceed the 2012 IECC. Additionally, this Notice provides guidance to States on how the codes have changed from previous versions, and the certification process should this preliminary determination be finalized.",76 FR 64924, 2011-27050,https://www.federalregister.gov/documents/2011/10/19/2011-27050/updating-state-residential-building-energy-efficiency-codes,https://www.govinfo.gov/content/pkg/FR-2011-10-19/pdf/2011-27050.pdf,10/19/2011
