title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Hazard Mitigation Assistance: Building Resilient Infrastructure and Communities,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is issuing the Building Resilient Infrastructure and Communities Policy. This policy describes a new hazard mitigation grant program to assist States, territories, Tribes, and local governments with mitigating the impacts of natural hazards, including those created, aggravated, or amplified by climate change. The new program is funded by a FEMA 6 percent set aside of estimated disaster expenses for each major disaster, supersedes the Pre-Disaster Mitigation grant program, and promotes a national culture of preparedness through encouraging investments to protect communities and infrastructure by increasing pre-disaster hazard mitigation and strengthening national resilience.",87 FR 10805, 2022-04041,https://www.federalregister.gov/documents/2022/02/25/2022-04041/hazard-mitigation-assistance-building-resilient-infrastructure-and-communities,https://www.govinfo.gov/content/pkg/FR-2022-02-25/pdf/2022-04041.pdf,02/25/2022
Community Disaster Resilience Zones and the National Risk Index,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is issuing this notice and request for information (RFI) to seek input from the public on implementation of the Community Disaster Resilience Zones Act of 2022, including updates to the methodology and data used for the National Risk Index and any other hazard assessment products; potential improvements to FEMA's provision of hazard data; the process used to designate community disaster resilience zones; financial and technical assistance for resilience or mitigation projects primarily benefitting community disaster resilience zones; and the community disaster resilience zone project application and certification process.",88 FR 34171, 2023-11268,https://www.federalregister.gov/documents/2023/05/26/2023-11268/community-disaster-resilience-zones-and-the-national-risk-index,https://www.govinfo.gov/content/pkg/FR-2023-05-26/pdf/2023-11268.pdf,05/26/2023
Community Disaster Resilience Zones and the National Risk Index,Notice,Homeland Security Department; Federal Emergency Management Agency,The Federal Emergency Management Agency (FEMA) is issuing this Notice to provide an update on responses to the Community Disaster Resilience Zones and the National Risk Index request for information and share FEMA's initial designations of census tracts as Community Disaster Resilience Zones.,89 FR 95801, 2024-28015,https://www.federalregister.gov/documents/2024/12/03/2024-28015/community-disaster-resilience-zones-and-the-national-risk-index,https://www.govinfo.gov/content/pkg/FR-2024-12-03/pdf/2024-28015.pdf,12/03/2024
"Agency Information Collection Activities: Submission for OMB Review; Comment Request; Mitigation Grant Programs (Including Mitigation (MT) Grants Management (Formerly Mitigation (MT) Electronic Grants (eGrants) and FEMA GO) for Flood Mitigation Assistance (FMA), Building Resilient Infrastructure and Communities (BRIC) and Pre-Disaster Mitigation (PDM)",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. This notice seeks comments concerning FEMA's Hazard Mitigation Assistance (HMA) grant programs specifically, the Pre-Disaster Mitigation Program (PDM), the Building Resilient Infrastructure and Communities (BRIC) program, and the Flood Mitigation Assistance (FMA) program. Under FEMA's HMA grant programs, State, local, Tribal, and Territorial governments (SLTTs) seek assistance to support disaster mitigation and provide opportunities to reduce or eliminate potential losses to SLTTs.",87 FR 38771, 2022-13803,https://www.federalregister.gov/documents/2022/06/29/2022-13803/agency-information-collection-activities-submission-for-omb-review-comment-request-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2022-06-29/pdf/2022-13803.pdf,06/29/2022
"Agency Information Collection Activities: Proposed Collection; Comment Request; Mitigation Grant Programs (including Mitigation (MT) Grants Management (formerly Mitigation (MT) Electronic Grants (eGrants) and FEMA GO) for Flood Mitigation Assistance (FMA), Building Resilient Infrastructure and Communities (BRIC) and Pre-Disaster Mitigation (PDM)",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning FEMA's Hazard Mitigation Assistance (HMA) grant programs specifically, the legacy Pre-Disaster Mitigation Program (PDM), the Building Resilient Infrastructure and Communities (BRIC) program, and the Flood Mitigation Assistance (FMA) program. Under FEMA's HMA grant programs, States, local, Tribal, and Territorial governments (SLTTs) seek assistance to support disaster mitigation and provide opportunities to reduce or eliminate potential losses to SLTTs.",86 FR 71073, 2021-27030,https://www.federalregister.gov/documents/2021/12/14/2021-27030/agency-information-collection-activities-proposed-collection-comment-request-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2021-12-14/pdf/2021-27030.pdf,12/14/2021
Agency Information Collection Activities: Proposed Collection; Comment Request; State/Local/Tribal Hazard Mitigation Plans,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, efforts and resources used by respondents to respond) and cost, and actual data collection instruments FEMA will use regarding the State, local, and Tribal hazard mitigation plan development or update process.",90 FR 17945, 2025-07443,https://www.federalregister.gov/documents/2025/04/30/2025-07443/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2025-04-30/pdf/2025-07443.pdf,04/30/2025
Hazard Mitigation Grant Program Application Period Extension,Rule,Homeland Security Department; Federal Emergency Management Agency,The Federal Emergency Management Agency (FEMA) is revising its regulations to extend the Hazard Mitigation Grant Program's application period. This revision will allow FEMA to approve additional projects and offer applicants additional time for project approvals meant to address the effects of climate change and other unmet community mitigation needs.,89 FR 66241, 2024-17909,https://www.federalregister.gov/documents/2024/08/15/2024-17909/hazard-mitigation-grant-program-application-period-extension,https://www.govinfo.gov/content/pkg/FR-2024-08-15/pdf/2024-17909.pdf,08/15/2024
FEMA's Hazard Mitigation Assistance and Mitigation Planning Regulations,Rule,Homeland Security Department; Federal Emergency Management Agency,This final rule revises the Federal Emergency Management Agency's Hazard Mitigation Assistance and mitigation planning regulations to reflect current statutory authority and agency practice.,86 FR 50653, 2021-19186,https://www.federalregister.gov/documents/2021/09/10/2021-19186/femas-hazard-mitigation-assistance-and-mitigation-planning-regulations,https://www.govinfo.gov/content/pkg/FR-2021-09-10/pdf/2021-19186.pdf,09/10/2021
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; State/Local/Tribal Hazard Mitigation Plans",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget (OMB) for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA invites the general public to take this opportunity to comment on an extension of a currently approved information collection. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, efforts and resources used by respondents to respond) and cost, and actual data collection instruments FEMA will use regarding the state, local, tribal and territorial hazard mitigation plan development or update process.",90 FR 40837, 2025-16017,https://www.federalregister.gov/documents/2025/08/21/2025-16017/agency-information-collection-activities-submission-for-omb-review-comment-request-statelocaltribal,https://www.govinfo.gov/content/pkg/FR-2025-08-21/pdf/2025-16017.pdf,08/21/2025
"Agency Information Collection Activities: Proposed Collection; Comment Request, 1660-0062; State/Local/Tribal Hazard Mitigation Plans",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a proposed extension, without change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning State, Local and Tribal mitigation plan requirements to support administration of hazard mitigation assistance programs.",76 FR 13200, 2011-5416,https://www.federalregister.gov/documents/2011/03/10/2011-5416/agency-information-collection-activities-proposed-collection-comment-request-1660-0062,https://www.govinfo.gov/content/pkg/FR-2011-03-10/pdf/2011-5416.pdf,03/10/2011
"Agency Information Collection Activities: Proposed Collection; Comment Request, State/Local/Tribal Hazard Mitigation Plans",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a proposed revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning State, Local and Tribal mitigation plan requirements. While there has been no change to the information being collected, this proposed adjustment is due to a change in methodology used to estimate burden.",77 FR 11142, 2012-4268,https://www.federalregister.gov/documents/2012/02/24/2012-4268/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2012-02-24/pdf/2012-4268.pdf,02/24/2012
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; Generic Clearance for FEMA's Major Disaster, Emergency Response, Emergency Recovery, and Hazard Mitigation Programs",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission seeks comments concerning a new generic information collection allowing FEMA to individually update instruments needed to provide financial, non- financial, program management, and technical assistance for FEMA's major disaster, emergency response, emergency recovery, and hazard mitigation activities.",89 FR 21529, 2024-06621,https://www.federalregister.gov/documents/2024/03/28/2024-06621/agency-information-collection-activities-submission-for-omb-review-comment-request-generic-clearance,https://www.govinfo.gov/content/pkg/FR-2024-03-28/pdf/2024-06621.pdf,03/28/2024
Agency Information Collection Activities: Proposed Collection; Comment Request; State/Local/Tribal Hazard Mitigation Plans,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, efforts and resources used by respondents to respond) and cost, and actual data collection instruments FEMA will use regarding the state, local, and tribal hazard mitigation plan creation process.",86 FR 51174, 2021-19750,https://www.federalregister.gov/documents/2021/09/14/2021-19750/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2021-09-14/pdf/2021-19750.pdf,09/14/2021
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; FEMA Mitigation Grant Programs",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission seeks comments concerning FEMA's Hazard Mitigation Assistance (HMA) financial and technical assistance programs; specifically, the Pre-Disaster Mitigation Program (PDM), the Building Resilient Infrastructure and Communities (BRIC) program, BRIC Direct Technical Assistance (DTA), and the Flood Mitigation Assistance (FMA) program.",88 FR 10925, 2023-03609,https://www.federalregister.gov/documents/2023/02/22/2023-03609/agency-information-collection-activities-submission-for-omb-review-comment-request-fema-mitigation,https://www.govinfo.gov/content/pkg/FR-2023-02-22/pdf/2023-03609.pdf,02/22/2023
