row_index,policy_id,source_url,file_path,state_list,county_list,city_list,tribe_list,policy_level,policy_type
42,8d8079719390b123b3356f77ac9f2bbcc4d063d7,https://www.rio-arriba.org/files/assets/county/v/1/fireem/documents/hazard_mitigation.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/8d80797193__hazard_mitigation.pdf,['New Mexico'],['Rio Arriba'],[],[],County,Hazard Mitigation Plan
45,cd6e901ca89224dc8bb353cad6d543224ccc0f35,http://mcoem.com/wp-content/uploads/2013/02/McKinley-County-HMP-Final-10142014.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/cd6e901ca8__McKinley-County-HMP-Final-10142014.pdf,['New Mexico'],['McKinley'],[],[],County,Comprehensive Plan
46,d42f4eb031c08c970d8eec8632555eb18ac51092,https://www.fs.usda.gov/sites/nfs/files/legacy-media/cibola/20210812_CibolaEISVol3-WEB-508.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/d42f4eb031__20210812_CibolaEISVol3-WEB-508.pdf,['New Mexico'],['Cibola'],[],[],County,Environmental Programs
49,820448de31d5bbcd5ce21b6eaa5e1d797c006036,https://bhinc.com/wp-content/uploads/2023/08/Chavez-County-Comprehensive-Plan.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/820448de31__Chavez-County-Comprehensive-Plan.pdf,['New Mexico'],['Chaves'],[],[],County,Comprehensive Plan
50,8de116d0611cf37580780c6948300690e72b32cc,https://www.emnrd.nm.gov/sfd/wp-content/uploads/sites/4/Final_2022_Colfax_CWPP_signed.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/8de116d061__Final_2022_Colfax_CWPP_signed.pdf,['New Mexico'],['Colfax'],[],[],County,"Comprehensive Plan, Wildfire"
52,e543260c36cb4bb3ee65089d5d87cba81640843f,https://www.currywatersheds.org/wp-content/uploads/2020/02/Curry-Action-Plan.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/e543260c36__Curry-Action-Plan.pdf,['New Mexico'],['Curry'],[],[],County,
53,ce32420426a8aaaa5980f662f15e6ce7fc66e7f7,https://www.emnrd.nm.gov/sfd/wp-content/uploads/sites/4/DeBacaFinalCWPP2.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/ce32420426__DeBacaFinalCWPP2.pdf,['New Mexico'],['De Baca'],[],[],County,Wildfire
55,f56ad91ff35ba820ef49beeae05c9ea11aeec23f,https://swnmcog.org/wp-content/uploads/2022/06/Hidalgo-Comp-Plan-Dec_2011.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/f56ad91ff3__Hidalgo-Comp-Plan-Dec_2011.pdf,['New Mexico'],['Hidalgo'],[],[],County,Comprehensive Plan
60,a3865044f634225771fc47f56858900a18a1e775,https://www.moriartynm.org/uploads/PDF/May%25202025%2520Torrance%2520County%2520New%2520Mexico%2520Local%2520Hazard%2520Mitigation%2520Plan%2520Update.pdf,/scratch/xt2284/pdf_data/data/New Mexico/County/a3865044f6__May%202025%20Torrance%20County%20New%20Mexico%20Local%20Hazard%20Mitigation%20Plan%20Update.pdf,['New Mexico'],['Torrance'],[],[],County,Hazard Mitigation Plan
62,22b520dec691933d4f21db7b6a8390aed977fb5d,https://www.energy.gov/sites/default/files/2022-12/picuris_pueblo_hammond_sand2022-16653.pdf,/scratch/xt2284/pdf_data/data/New Mexico/Tribe/22b520dec6__picuris_pueblo_hammond_sand2022-16653.pdf,['New Mexico'],['Taos'],[],['Picuris Pueblo'],Tribe,Energy
63,067ee46c19775492e21def1f8050da6821a42593,https://www.epa.gov/system/files/documents/2024-04/pueblo-of-tesuque-pcap.pdf,/scratch/xt2284/pdf_data/data/New Mexico/Tribe/067ee46c19__pueblo-of-tesuque-pcap.pdf,['New Mexico'],['Santa Fe'],[],['Tesuque Pueblo'],Tribe,Climate
64,0eeaa65ff4fdeb8d9b03a065d4b6ddbacd81be9d,https://www.epa.gov/system/files/documents/2024-04/pueblo-of-sandia-pcap.pdf,/scratch/xt2284/pdf_data/data/New Mexico/Tribe/0eeaa65ff4__pueblo-of-sandia-pcap.pdf,['New Mexico'],['Sandoval'],[],['Sandia Pueblo'],Tribe,Climate
65,26a7f602615b98b6f5d1619b71b88f377117c65f,https://www.energy.gov/sites/prod/files/2015/12/f27/zia_pueblo_final_report_ee0005628.pdf,/scratch/xt2284/pdf_data/data/New Mexico/Tribe/26a7f60261__zia_pueblo_final_report_ee0005628.pdf,['New Mexico'],['Sandoval'],[],['Zia Pueblo'],Tribe,Energy
66,5abc0f2a17a4063ad73a52ec55d7023a7e3fb2cd,https://www.epa.gov/sites/default/files/2014-10/documents/acoma-wqs.pdf,/scratch/xt2284/pdf_data/data/New Mexico/Tribe/5abc0f2a17__acoma-wqs.pdf,['New Mexico'],['Cibola'],[],['Acoma Pueblo'],Tribe,Water
67,4810c9cfd613ae84c0bfd6eecc45a5f84654e2c8,https://www.isletapueblo.com/wp-content/uploads/2022/06/IFD-Isleta-HMP-FInal-Draft-6-9-2022-2.pdf,/scratch/xt2284/pdf_data/data/New Mexico/Tribe/4810c9cfd6__IFD-Isleta-HMP-FInal-Draft-6-9-2022-2.pdf,['New Mexico'],"['Valencia', 'Bernalillo']",[],['Isleta Pueblo'],Tribe,Hazard Mitigation Plan
68,80aae511fc06786e66dbff5ef3933640398d1d40,https://www.nndfw.org/docs/Navajo%20Nation%20Community%20Leaders%20Climate%20Change%20report.pdf,/scratch/xt2284/pdf_data/data/New Mexico/Tribe/80aae511fc__Navajo Nation Community Leaders Climate Change report.pdf,['New Mexico'],"['E-Bernalillo', 'G-Cibola', 'L-Socorro', 'D-Sandoval', 'B-Rio Arriba', 'H-McKinley', 'K-San Juan']",[],"['Navajo Nation E', 'G', 'D', 'B', 'K', 'L', 'H']",Tribe,Climate
